nombre,productos,precio,descripcion,imagen
🥃🪵 Kit Legacy,BAR 030,30,"Un clásico reinventado para quienes disfrutan con estilo.
El Kit Legacy es un set de bar cuidadosamente diseñado para brindar momentos memorables con distinción. Perfecto como regalo ejecutivo, obsequio de agradecimiento o presente especial, combina funcionalidad, materiales nobles y una presentación sofisticada.
Incluye:
Licorera de Cristal
Vaso de Cristal
4 Cubos Enfriadores de Piedra
Bolsa de Terciopelo con Jareta
Estuche de Madera",image component recomendado-ocaciones-8-800x800.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/Ae-6_d_6MAxfe1VFxGuWrA/ZqkcnlaRV5GRoyFT6gyX0Lub3KylNXDeP33rpGLqjTfCJO6GOt0uAwalTGubsZKlwRM3V8ET8XtftBtiYgXML3l__gBGHmlwy5do0gv1ZEiA5PxvDw74MDdcx32IjKJtZavmNzGwWNHTwp3Tvc0_tmyHetZrIUFL1T7w3x-X4WfQg6Vl4lcIHpsF1Frb3AgKcFrhCK8vdXHBi99tZFuQPQ/ReEfr9jnoff0Hy-3tlT7lYyrlWzfNpiBogKNk923ONU)
🎒💧 Kit MoveMax,"PC-084174,TE-184",30,"Listo para acompañarte en cada jornada.
El Kit MoveMax está diseñado para quienes se mantienen en constante movimiento, combinando funcionalidad, resistencia y comodidad. Ideal para un estilo de vida activo, este set es perfecto para la oficina, la escuela, el gimnasio o viajes diarios.
Incluye:
Mochila Phenix para Laptop de 15.6""–17""
Botella Jumbo Transparente de 1.4L (48 oz)",image component recomendado-ocaciones-8-800x800.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/fLKQSwZcJbE3P62ax-uiCw/Zl0kVGXZxcGFTCzQOWruCf4Vn3e6l_hjCnpQKgdgaT947GUey1DH7wQ2-xfRJItex79KN34knJfZRYCBR19d8KmBM275Ksgbe4eA-eHEcpqZPJpm-6_-hV5hvdaR0uzhcnW7Yf901czXo9RtJIe3--x04CGfWrqliEb0N2eY7NU1jWeTPiv1qhgDtvq6RD7xjN5qRxMvI1DoAx1mwQwpng/-L1Q47hufgIfC_2vyipBbVL-IR4Q7rf-AoQFdocPauU)
💼🌿 Kit Urban Balance,"TE-174,LL-032,TX-192",30,"Estilo, practicidad y conciencia en cada movimiento.
El Kit Urban Balance está pensado para profesionales modernos que valoran el diseño, la funcionalidad y el bienestar. Una combinación de productos cuidadosamente seleccionados para acompañarte en tu día a día, con un enfoque práctico y estético que refleja compromiso con la salud y el estilo.
Incluye:
Botella Mate de Plástico BPA Free (1 L)
Llavero en Curpiel Blarney
Backpack Porta Laptop de Nylon y Curpiel",image component recomendado-ocaciones-8-800x8005.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/_0-028nJbcRRmZWGP15beA/4UhNK_X4qN5Fn_HQiXLp6lHykkgbEIA5Z3Nh8uk8TwrIfb7Z3XPPJGRQUcjjtgG3C2ZySheOjtM-D3PtnjTI2wxUHAFNg_23Sp4d3Qjp31UDzGbHl4-EKvjWypTRDDCH1KbgKtQZrFyyVnF3wJrhcTw6mOwyYmIYgBM7OOMuVwwqkhdB2sO7zdPL0BoMymK-rrK9E1vo8iaNSNfolCO8wA/GyEu_0Z9DmbONVxdKE2XMTr3CYn1t_ch5wsQ1ud-ORI)
🎧📘 Kit VitalGo,"TE-115,TEC177,lib-fee,TX-166",30,"Para quienes se mueven con energía, organización y estilo.
El Kit VitalGo combina hidratación, conectividad, escritura y movilidad en un solo conjunto funcional, ideal para personas activas, creativas y conscientes. Diseñado para acompañarte en tus jornadas más dinámicas, ya sea en la ciudad, la escuela o el trabajo.
Incluye:
Botella Deportiva de Policarbonato (1,500 ml)
Audífonos Cristal
Libreta de 80 Hojas con Papel Silky
Backpack de Poliéster con Cierre de Jareta","""ChatGPT Image 8 may 2025, 02_09_10 p.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/Q8vhDodAdPOJ1rQcc-ordg/c6slNZVI_MvtfQONznBTpbb5NQIYG2uEnGlOCIzSxQfbTt8GWk9uMrvA4Dchy_m7RMSgneb5M4VKE6zZqeIj6P9MZEYilyIeW4826lewwKrsrgP9RINGp4aA6rv5ZRFiFDvhGO0mbw16uypj6ewkbRzKWn6A6Tmyelih58GvPEpu1i4WZOHKI2tt5f04Sznb/wRDX0BUEGwEYZCpiP5kUS9oQPcpX0l5dTk72Jq6C1a8)"""
📚🍵 Kit Flow,"TE-151,LB-091,SO 124,SIN 906",30,"Diseñado para acompañarte con orden, energía y estilo.
El Kit Flow reúne herramientas esenciales para mantener el enfoque, la productividad y el bienestar durante tu jornada. Perfecto para profesionales modernos que valoran tanto lo funcional como lo estético, este set es ideal para integraciones, regalos ejecutivos o programas de fidelización.
Incluye:
Termo de Acero Inoxidable con Infusor de Vidrio (500 ml)
Libreta Zabbar
Soporte Plegable para Celular
Mochila Baum Porta Laptop",678bcd5f-c7a3-45e0-a6b5-8d62b4162f80.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/iO_BOJcwZ57Jm4bHDNsjbg/5nXgGe7rPtXM24JlAC_eBbS7qt2-f9GOqOolleCSzfT_Uezxgd4eBASURw9G-BSpV0b9UqBRJCKZ4oSQBgPUSrw60op_fX33uuNRDwbwc4BSSVlHLOrvjDwxrU7BSbukqPlhcdqNHotXrcvWb55BvudvvSQ2m6nMS78xN8LwfZZubNhSKqrKSiFE-xrg2PCv/sDhuCCqFQT80Hb0OkjoRaJchh2upGtQqco7h9dHBrMY)
☕🌿 Kit Latte Moments,"HM-093,A2748,Blasón,ACC 003",30,"Para transformar cada pausa en un momento especial.
El Kit Latte Moments es una invitación a disfrutar de una experiencia sensorial completa. Perfecto para amantes del café, detalles de agradecimiento o regalos que conectan desde el primer sorbo. Cada elemento fue pensado para brindar calidez, sabor y un toque de confort.
Incluye:
Taza Caminia
Espumador Eléctrico para Bebidas
Café Molido y Tostado","""ChatGPT Image 8 may 2025, 02_12_30 p.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/OZjp5Lt-BYbY9BFZq9LoRg/Y7mjSLPtS0gN3YScrd7GYqAV5ojtVPYkrJQmIYX8q4BKoYqN3ACvOS3vr-jwUWU6O1jf4IZ0W2exIuUwnR1-SH2yVJPQwRiOX7Hm0nfhpdv8Bz9GLLAarQIdWp9xE0lHgQgcfWsbkx2HeTk72NVE9UoJ8VN2DeeYz3LANI2p9ktmvdL5hpHThm1bFy3WXMK1/_HKCU0Kmug-8O_UEAdPNyaZ6bziIY5juMfq7yRnYVYc)"""
🖋️💼 Kit Executive One,"M 80190,ari-met,T 225,BL 051",30,"Diseñado para profesionales que se mueven con propósito.
El Kit Executive One combina herramientas esenciales para la productividad diaria con un diseño funcional y sobrio. Ideal para quienes requieren organización, movilidad y estilo en sus jornadas laborales, este set ofrece una presentación cuidada y elementos prácticos que marcan la diferencia.
Incluye:
Carpeta Organizadora con Block de Notas
Bolígrafo Metálico Roller Premium
Cilindro de Plástico 1,000 ml
Mochila Ejecutiva con Compartimiento para Laptop de hasta 16”",image component recomendado-ocaciones-8-800x80015.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/pIIjLjiPvKqNGoBoAilOjg/X9oDJOv4ymbCAJd_CO0fXKgH0P6ZCjzaAnoRdndFq0-4dAbyrCKPsKzkFzFU5n0j_zqGzfXY3gMExcC_KnprPnEpeFZcN-gMqmsVE7IImvg1ksbNh4lOIyXnZ2tQZNozoR30kgJ-HA3VffivObvOW3DUFbCuXIR1MhnNXR_bW5xrYftUte9ZFhHjLEoQJYQuxH_IyNNu8RiCzhtUsrxZKg/_DCfM2UwIJeWTaJTtWrdC0lD8ru29kSoqfjsC8s7ShA)
 🌙💆‍♀️ Kit Relax & Restore,"DAM 052,COB 007,SIN 215",30,"Bienestar, confort y un momento solo para ti.
El Kit Relax & Restore está diseñado para brindar una experiencia de descanso y autocuidado. Perfecto como regalo para consentir, programas wellness o detalles corporativos que expresen aprecio, este set combina relajación, calidez y practicidad en un solo paquete.
Incluye:
Masajeador Helena
Frazada Luna
Bolsa Vidya","""ChatGPT Image 8 may 2025, 02_16_55 p.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/MCIsD-sTWqf6lgNbEoTBCQ/EjJ78Yeu5pz-cTaDqtIX_Of7f4S3UpWWNeQKtwRxItC1_Mby5PQBqPkHjrhLjuv1NlSiLp2148_nK6zim-VXWc3kwun46q1KlW0ziB0TYXfgoxGtg-O-UiznIHyAg93GGxaM8ZUWCVnaM5LxV6Rr3E-hyZFB-Q6-5ClNlvr0l__QVhqGF63bZJ63kjXogd1N/ayTG5nUGIUdf4iPMX4IG-V7QzPDzMKXmUuOEG90EArY)"""
⛳ Kit Fairway,"A2963,GLF 012,A2977,ACC 003",30,"El Kit Fairway es un regalo único que combina estilo ejecutivo con el espíritu del golf, ideal para quienes valoran la distinción y encuentran inspiración en cada detalle. Pensado para ejecutivos, socios estratégicos o amantes del golf, este kit transmite elegancia, enfoque y una afición bien cultivada.

Incluye:
Vaso Térmico con Textura Golf
Set de Golf Aveiro
Juego de escritorio","""ChatGPT Image 16 may 2025, 10_34_44 a.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/xB777C6pI_yPTe6ksFy2Vg/EnQ8Y8vWlw22XxNqRk-0RXb5KIGgS88kJD7VDocvGUneXbiKB6NvuhBWTwzyFDdoa2gAk29D7njzNuE3zeogjWsInt8R0d_lC-BNp3DScDf-FX8YUz6gKkG3FZDzGyq-Z1P6tCeZnWQKrJwfzmTYKTcatuTXttgeuSWLCCio5uxJTkfh5lrlz3f6spw_ddjj/sELecB6u5iivFpfDv4Gixu7Sh_jOff8W0fHHMKMxK5o)"""
📱🎧 Kit Sync Up,"PC-270157,BB-H36380,SO 124,ACC 003",30,"Conéctate, escucha y mantente en movimiento.
El Kit Sync Up es ideal para quienes buscan tecnología práctica y estilo sin complicaciones. Perfecto como regalo de bienvenida, incentivo ejecutivo o reconocimiento, este set ofrece conectividad, sonido envolvente y soporte funcional para el día a día digital.
Incluye:
Smartwatch Bluetooth Mercury
Audífonos Inalámbricos On-Ear Billboard Unite
Soporte Plegable para Celular",image component recomendado-ocaciones-8-800x80042.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/v7soNcI_7XBtJrUGEdsH4A/iyxBygmhUkwGop0s_aFaWIEf6iojpFdLR0s433f7TvzgIQ0oR2pxNQBTkacVtckuepzMQx_Inex-hSFaOHgGcMzMyD4M8q9FzK7o75WG5j332bt6b4wa53wDa5W-t7r0CfVWqle-_ExE1IavtHPtmpyLNdDckxa24my37yOx9aT1JVBGpa_RSdCvAi6LCdPJluLTrdxxrirN5n0vz5xZzQ/Wt0RA_H37sP3KpVENrTaVaY9UbbjraWObXRgu4yPlV4)
☕🧣 Kit Comfort Brew,"HO 058,TMPS 176,COB 004,ACC 003",30,"Calidez, aroma y confort en cada detalle.
El Kit Comfort Brew está diseñado para regalar una experiencia de bienestar y pausa consciente. Perfecto para disfrutar en casa, oficina o como obsequio reconfortante, este set combina funcionalidad, diseño y una atmósfera acogedora que invita a detenerse y disfrutar.
Incluye:
Prensa Francesa de Vidrio
Termo Macao
Frazada Edaria","""ChatGPT Image 8 may 2025, 02_21_29 p.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/E6Ts9vXGJiEfJMX8BUB-1A/BBkArdxJB3CAO91_fTU-ZZAqQua2zt7T9ZdOX_DCPo0FTL18j5ihbf_wsKpGSsMmA15drg1JL-ZNwPDkPPVsX0Dd-MVbt18ChK8QvkvQSkXmWFHcsf0R1nitw99AAddbn9ocIk4V1IfvXvzk2jgr6J3Hky301_e4kI0Kxw9JzLLrB6OvbXFssVG48sDpmXTg/uXUeqgW9d2JRcaxFVtfo70Zo_1xd_eFmV8eBkREYUtM)"""
🌿🖋️ Kit Essentia,"dak-met,TE-134,LB-091,""SIN 531
""",30,"Funcionalidad, elegancia y conciencia en cada detalle.
El Kit Essentia fue diseñado para acompañar a personas que valoran la calidad, el diseño sofisticado y los pequeños toques que marcan la diferencia. Una combinación perfecta de tecnología suave, materiales nobles y organización ejecutiva, ideal para un entorno profesional moderno y consciente.
Incluye:
Bolígrafo Metálico Roller con Tapón a Presión
Termo de Acero Inoxidable con Detalle de Bambú (500 ml)
Libreta Ejecutiva PU con Cartulina
Mochila Holde Ejecutiva",image component recomendado-ocaciones-8-800x80030.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/N_AUqMKIHcmfVjsKCeMXwg/QX98m0ATVBOEtPdEJJu6oqDnYhRv0Zx0D8qJbwnb0aPeQlpq9nru2Vpe33cNsy0Enypl6mX-oy2yLTmVABwQ9O7sqe0taoLbUOPjwwuJ44p4j3FUywj8ROV5GJbBJj4S3JIW_VGuzbjY_APChj_I4ycOrSgVYE3pAyVq5C_2kbG1R1QC4f13bvBWVjZbO_AnNSqmGqof0lN7B803AY1GiQ/4pgNLLF1GpyvXvTNphhgLMZT5z7k2KKuEY1dIyYjQ5s)
🔋📱 Kit PowerLink,"ST-A62411,SO 124,ACC 004",30,"Energía y soporte para tu día, estés donde estés.
El Kit PowerLink es la solución perfecta para quienes viven conectados y en constante movimiento. Ideal para ejecutivos, colaboradores remotos o creadores de contenido, este kit brinda autonomía, funcionalidad y estilo en un empaque compacto y elegante.
Incluye:
Powerbank STF 45W – 20,000 mAh
Soporte Plegable para Celular",image component recomendado-ocaciones-8-800x80036.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/gtpT1rkMJdGSaMbUJXOWtA/n0aKOxGihzT93m4yQ8eOsn4cYDuV4RzahHKmOQKRvgqKO5hbWy722PN0ejaPfV1htW-YxHTcVSfryRXQOjV-DI6DSuosoj_PEgM8wWFjNqU8aWQ7wrKFzign-Pfd5HEvKbtg0YsOEu-MGHwLx2fLhYbms9WM9r9SsBYqGLohHAs5kh66rml9ObZJohtp3f4Xt_W-S8WGIVGinVXkYHcj-A/JI0jfT8x_rR0ETtEojGnW09T8GNExQc3jZSo1VzN7Ak)
🔊🎧 Kit SoundMode,"PC-113089,SO 116,Ma-Ren",30,"Estilo, ritmo y conectividad siempre contigo.
El Kit SoundMode está pensado para quienes disfrutan de la música, la tecnología y la libertad de movimiento. Un set perfecto para llevar tu sonido a todas partes, trabajar con comodidad o simplemente disfrutar tu playlist favorita con estilo.
Incluye:
Bocina Portátil Inalámbrica RGB – Handy
Audífonos Plegables Bluetooth con Acabado Rubber
Maletín Moderno y Funcional","""ChatGPT Image 8 may 2025, 02_23_56 p.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/yPXuUX6EQ9sgZgrBNBaWZw/S7L6VUntppwJYEVfZmKm_Ml3OAguMHulG2ydNNGNxOtbQB1M5yrfKbt8tBYf9l9u2eKoBfEsRDTYu42M9nchOg_XSFFE8VkdTuFWQNaJeK_ksHxkoMBZleg0F0l6G-a0FKLzpRV4MomJ8jFptX8z7FQh_aJMsSvl8ldKlXyP624cauSOxqSNd-FGBIn0aBV9/ZAPUKya9TeBvCf2g1xVWKptI4BV_lqLwmkQKUGF63EM)"""
🎧✍️ Kit Vision,"TE-229,TH-168,sha-met,SIN 535",30,"Diseño, funcionalidad y estilo para quienes piensan en grande.
El Kit Vision fue creado para acompañar a profesionales dinámicos en su día a día, combinando herramientas de hidratación, conectividad, escritura premium y movilidad inteligente. Este set transmite cuidado por los detalles y un enfoque orientado a la productividad y el bienestar, con un estilo moderno y práctico.
Incluye:
Termo de Acero Inoxidable 1,200 ml con Popote
Audífonos Bluetooth en Estuche de Carga
Bolígrafo Metálico con Textura Ultrasuave
Mochila Delag Ejecutiva",image component recomendado-ocaciones-8-800x80032.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/mAcV0PnbYQD5nFgzK4gIiQ/3chceHTpwKzDuoyfOICWHXRo7ZW2x7M-WncYAtrjgzYqbWFTCwzveGVf_LwnY6JRQsdLq6RI3AdtD3lUbjwkJbECFdHo0S8JzvUYv_14cWL7GMI5ZtduD0cius-PbSsPyEvjPC0boJIEaYJTH9MLqYNyvq_oC_oRVq5V3MOzwn8TMefr0eFee0gsAVv5_Ros0M3Uzm2n0Cg12DCxodK_QQ/APnzEfhnMWOqkNK-N5agIHDumhMQUbGjE0-78xA2x1E)
🖋️📆 Kit Impacto Profesional,"dak-met,Coff-Nor,AGDU 025,ACC 003",30,"Organización, estilo y funcionalidad para un año con propósito.
El Kit Impacto Profesional fue creado para acompañar a profesionales en su día a día con herramientas que inspiran orden, elegancia y rendimiento. Perfecto para regalos de fin de año, programas de bienvenida o reconocimientos ejecutivos.
Incluye:
Bolígrafo Metálico con Tapón a Presión
Vaso Térmico de Acero Inoxidable con Doble Pared
Agenda Diaria Ultra 2025","""ChatGPT Image 8 may 2025, 02_26_42 p.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/1M9GRhMy6VuZLaP9SraTug/G75QMvEIN-hyQUzvOL5wGoUnTdZsiAnhv8wyEsOcwlzRN1wFcbH-dOCLFy2iP2-Jrz88IdwwKwCKAa9Orfz5GPoC8m3eEhmZSVfJ3gN-T6qrJu5xZsIToi7HafgWLhv_1f0NjDQoZutJ5jn-zdkq4R572NCUrf12lh-rghvcsaOSf01-MidwU5VACxKZL-YK/3Q7yh6H5zV_BuaGYK1NKOtXOw6hc2GftDAUAczAs6iQ)"""
🗂️👜 Kit Prestige,"age-bod,CART-MV,ACC 003",30,"Diseño atemporal, protección inteligente y elegancia en cada detalle.
El Kit Prestige ha sido cuidadosamente diseñado para quienes valoran la distinción, la funcionalidad y la calidad superior. Una combinación de artículos que fusionan organización, estilo y tecnología de seguridad, ideal para ejecutivos, socios estratégicos o como regalo institucional de alto nivel.
Incluye:
Agenda Box Diaria
Cartera Vertical Mosvarti con Protección RFID","""ChatGPT Image 8 may 2025, 02_30_47 p.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/3-hpISr_NtiuZD4n6AerwQ/SOQ1mE3SDX_DU5q5GffGiGzJc3zlW1ytNHwQH_L-5yGM36MjaDanBRvv4cdbGxIKCqRvOl1iVidStKGFW7TrmT3sFpxDU2YriGG1JiI6-BumE4TwCH4VGxzd37RKMv4SuYkDCDHO6vYV0KXwJ9TFM6GvoNj_hmgvdcRk9duQ8riW714AI9T3-Jg5nk0dve63/O0IAt2hvGPVDj1eVJCfkxWxFyJacGk1Joi4352xiopo)"""
🎄☕ Kit Warm Wishes,"TE-204,HO 058,COB 005,ACC 003",30,"Un detalle que abraza, reconforta y deja huella.
El Kit Warm Wishes está pensado para transmitir cercanía, calidez y cariño en cada elemento. Perfecto como regalo navideño o de fin de año, este set invita a disfrutar momentos tranquilos, con una bebida caliente, un aroma reconfortante y una frazada acogedora que envuelve con suavidad. Un gesto que se siente y se recuerda.
Incluye:
Taza Navideña de Vidrio con Doble Pared
Prensa Francesa de Vidrio
Frazada Tipo Borrego",image component recomendado-ocaciones-8-800x80046.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/3spP62BL2ROdZAYPbB1Ilw/MWunOWjHDro4n-jTHxHr58sSa2F-aRyNH0Wq4q4D3rzSbJPZm27pvIG2Ep_lk8FPbIyr76xdroM_DzKyRnuRgibl-4C-ItCc7TQB0zt03Kdw9nB7qwvv8ACbwlRn42DgJlqIXU20nXjwyrbhCoyC3EvkUP5Kv3d3xRFVPHd9b0JicjbKfiN7WNVVFkPf4zmIS363dhqjtKH5gXIDralh6A/VGIA-ygmxaRfGCXp3cc5lau3c-pO1iLTEK29i38TMnI)
🔋🎧 Kit Charge & Sound,"ST-A36748,AUD 046,ACC 004",30,"Energía que te sigue, sonido que te conecta.
El Kit Charge & Sound fue creado para quienes necesitan mantenerse conectados sin interrupciones. Ya sea en movimiento, en reuniones o en momentos de descanso, este set brinda autonomía, conectividad y una experiencia auditiva envolvente.
Incluye:
Power Bank STF Premium 20W – 20,000 mAh
Audífonos Rink","""ChatGPT Image 8 may 2025, 02_36_37 p.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/h9xZJD5wIfJQMvY1OIpsPQ/lBFHeXZ6I9XuA8qvj1zaKj7DEtpOcXG8N1ay4YdIMAv8G8KQtw2tn1iibTGptQ5UVhZL8KHrQdgPSLqUCLK40oHvWN46t29V5w6asoYh5-g2jd4nJiMGdpTBesJabK2tZGDC0NeliTH1jidBSIuKvfhnPLWglNBC2J3kQQnAJzYFscPsgWK5fyeL45p74dF3/AEH4U_h4XsEd2_vPI87cjTkTFdVwwwMrCqYXI0X1gVU)"""
🔊☕ Kit Pulse,"TMPS 205,ST-S77286,ACC 003",30,"Diseño práctico y energía en movimiento.
El Kit Pulse combina funcionalidad y tecnología en un formato compacto y moderno, ideal para quienes valoran los detalles útiles y con estilo. Perfecto como regalo institucional, kit de bienvenida o incentivo, transmite una imagen fresca, conectada y profesional.
Incluye:
Termo de Acero Inoxidable con Sistema Push (Doble Pared)
Bocina Inalámbrica Portátil STF Rogue Mini",image component recomendado-ocaciones-8-800x80039.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/-sQehxn19cUavGAnqR1E3A/wvEj7MeAoij7veAL7X86OYpmTiVbgiW9fBfJ-Kz_oTTBJMCop2mxwoOctbudnwK7EYlKILGydVPFbrPBzDooS7Dr6Hr1_UalJR-Fp42VZQ5xOVa8-2r7UaZ_C39ScV3cZrN85KYcmP7W7wkBoExIziNclru5dfOB99XE9lrU43YjAXKAsc10ExVzwMKM1WdPdJpc1LctOsHqzfdaTa0sjw/lWUrAARkDKG6q1w54peKVxL9tgrvGYSGUJ93CyPugCE)
🖱️⌚ Kit SmartDesk,"DK-099,PC-045199,SO 143,ACC 003",30,"Tecnología, orden y eficiencia en cada movimiento.
El Kit SmartDesk está diseñado para quienes valoran la productividad, el confort y el diseño inteligente en su espacio de trabajo. Ideal para jornadas híbridas, trabajo remoto o entornos creativos, este set brinda una experiencia completa con herramientas ergonómicas y conectadas.
Incluye:
Organizador para Escritorio con Mouse Pad
Mouse Inalámbrico Snouse
Smartwatch Multifuncional","""ChatGPT Image 8 may 2025, 02_39_11 p.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/CSbuEKVobTPHb7oKjQje2w/j0u-L_XWba78AnVp2Yuz2NJV97V0tYWMRHBfbSEikfGoJmA_d0O8vjDgiHEr6FSbzopwtY8f5fRhSAvsGxnNMzTOOTRkF1YmMma_ai45rh_AvglcEIgz99aqgCAm7szCmHalulqNDNdOcvUuqbYovGnwSzYNfuvPzonEWWqJ8TNWtYwaoy4Jkg7tK4gVUBxP/MhdK8OIYx0Pg9v06g-Mp1VF7VyKudDAX74CFokuKEA8)"""
⌚🔑 Kit Pulse & Key,"PC-270171,lla-dre,ACC 004",30,"Tecnología, estilo y utilidad en un solo set.
El Kit Pulse & Key está diseñado para quienes valoran la innovación, el diseño y la practicidad en su día a día. Una combinación que une tecnología avanzada y funcionalidad cotidiana, ideal para ejecutivos, colaboradores clave o como regalo institucional con impacto.
Incluye:
Smartwatch Citrine con Pantalla AMOLED Siempre Encendida
Llavero Drei","""ChatGPT Image 8 may 2025, 04_48_13 p.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/bKGRmbPnv7dJpyq1HpSwqw/h7RYORX6fECgHRE0q6qxeK29pTwNhS4g3IbmWESKS7yyXgVe5w_x1zCkYRNCdcTEoDFkM-MicqE13rZxQJmF2yOQWV7KVwJymn2tiModOyMEEYQdxAxwqlIurJdwav84j4K2Ja-rO3s-dxIBEp-IeA8dtTg8Lx7xl0mOndwbY69y2SDUQ-3DZrFnDQRFXk35/K5M6GdTEOnkcQ3O8hCbjs7jw9wNGAjMWqkmkdKAg6bY)"""
🖤 Kit Distinción,"CARL-MV,lla-alf,COB 003,ACC 003",30,"Elegancia discreta que deja huella.
El Kit Distinción es una muestra de sofisticación sutil, diseñado para transmitir aprecio, estilo y atención al detalle. Cada elemento ha sido cuidadosamente seleccionado para ofrecer una experiencia sobria y refinada, ideal para ejecutivos, directivos o clientes clave que valoran la calidad y el buen gusto.

Incluye:
Cartera de Piel Luxury
Llavero Metálico con Grabado Láser
Frazada Ware",image component recomendado-ocaciones-8-800x80054.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/lhVexcp1Nzbw0ETgpKGi0Q/mVBiwJHtbc10E918OQM9KR5vTdUPimp_t-D6adAjXBpRX4e6ySGFHeogiJSC6RlQMolr2RM2wB--vpqf-Ont65b5PSh82Hd6k6FdWTHfHupg59_-DnYcA0sWyKfDCItYX5T9uQdEbab_wiihqG4avs3FDr7U3KvQEs_OFp0aju0M_8prKpPH9NtSMTNIUn7BpNmw0bJKCKn3Eaio3PIMXg/06_R-Gyyvzv2y-ZNFHowXbvMClKF8zY5KhghsIDNuPc)
⌚🎧 Kit Active Sync,"BB-E78671,SO 143,ACC 004",30,"Tecnología que se adapta a tu ritmo.
El Kit Active Sync fue diseñado para quienes buscan mantenerse conectados, activos y enfocados sin comprometer estilo ni funcionalidad. Perfecto para profesionales dinámicos, este kit ofrece herramientas inteligentes para cuidar la salud, disfrutar de buen sonido y estar siempre al tanto del entorno digital.
Incluye:
Audífonos Inalámbricos Billboard Soul ANC ENC Plus
",image component recomendado-ocaciones-8-800x80038.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/FVb3ncK92rQmvjnt3NX6-Q/IVysUMXzTqIJ7AYx8Oub-lDzfeDnMjlNsf8DARaLs-dNwqgaTTJbgwzTWYGfcCxiIMq87FgaRXj6iLzWG9IEEqKmj6NUaclEDbYAfLxV0ZJCEr8PTm-SrlDI191o8GdigSsl-NrEaDI-2H90dZhlnqjckYCv5omXDNXh-ZenK-jalTSsXGjx04eghOalzqO4oaM6lUo4NPSEZnNCCUEXQA/GBy6WCD-xAuYl6iZBtbQa8irDGDTU26_GmM4b97GUGk)
🌱💼 Kit EcoExecutive,"SIN 014-,A2867,bol-met,TX-183",30,"Profesionalismo con propósito.
El Kit EcoExecutive fusiona elegancia, funcionalidad y compromiso con el medio ambiente. Diseñado para profesionales que valoran tanto la eficiencia como la sostenibilidad, este set es perfecto para juntas, viajes de negocios o jornadas laborales dinámicas.
Incluye:
Carpeta Portafolio Ejecutiva
Termo Nayad Neo 16 oz
Bolígrafo Bold
Backpack Menfi","""ChatGPT Image 8 may 2025, 04_59_13 p.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/ejLnY_MZGpb9SNJAaxnPVA/g_4lRO_rJeUhD9e-UJOROiSC05zQVJ2wrj4JPJtRxTbdqjj8ul22zwipkOnOmeFERhSCmZPytpRoYh6D1drOzAqWMkLc_0K9HeIiDP39Id0Z7T_NwCuu3sbd3QiR7pIrk15hEGNqEtODu-wR7UCOqMCISDswjvMsaL0mDaCkJ8XO4fszR3xHtpwjYt3yDrA-/lrXZXymp_df87la0-P624yCkg7-0kGga9i4_u0yQNa8)"""
